DistributorId,DistributorRegistrationDate
41041193,2020-02-04T11:26:53.053Z
41041194,2020-02-04T11:28:39.777Z
41041538,2020-02-04T05:06:25.167Z
41041539,2020-02-04T05:03:11.760Z
41043710,2020-02-04T05:34:55.640Z
41044939,2020-02-04T13:15:04.710Z
41048945,2020-02-04T13:50:11.743Z
41049286,2020-02-04T08:31:14.380Z
41049287,2020-02-04T13:43:37.247Z
41072379,2020-02-04T14:21:16.893Z
41072383,2020-02-04T06:10:55.467Z
41072384,2020-02-04T06:16:42.313Z
41072398,2020-02-04T13:41:16.683Z
41072688,2020-02-04T12:21:42.190Z
41073093,2020-02-04T09:52:10.147Z
41079043,2020-02-04T08:40:05.950Z
41088617,2020-02-04T08:54:24.597Z
41094438,2020-02-04T12:54:31.640Z
41094705,2020-02-04T08:24:29.903Z
41094824,2020-02-04T08:10:43.083Z
41094825,2020-02-04T08:26:29.633Z
41104167,2020-02-04T08:49:31.790Z
41104171,2020-02-04T06:23:07.803Z
41104172,2020-02-04T08:14:29.110Z
41104350,2020-02-04T14:40:50.867Z
41109491,2020-02-04T07:35:27.717Z
41127192,2020-02-04T06:53:45.037Z
41129589,2020-02-04T08:59:30.970Z
41134267,2020-02-04T07:16:36.397Z
41136032,2020-02-04T14:20:27.737Z
41138594,2020-02-04T10:25:30.673Z
41141832,2020-02-04T10:26:19.313Z
41144841,2020-02-04T09:18:31.860Z
41146405,2020-02-04T17:16:32.650Z
41146406,2020-02-04T07:50:55.360Z
41146500,2020-02-04T09:01:41.037Z
41170886,2020-02-04T15:01:22.300Z
41177144,2020-02-04T05:00:08.080Z
41177145,2020-02-04T04:19:17.123Z
41181248,2020-02-04T01:45:43.310Z
41181249,2020-02-04T08:58:35.583Z
41181273,2020-02-04T08:42:20.480Z
